<TICKER> <PER> <DATE> <TIME> <CLOSE>
XAU D 20021216 000000 336.4000000
XAU D 20021217 000000 336.5000000
XAU D 20021218 000000 343.7700000
XAU D 20021219 000000 345.3000000
XAU D 20021220 000000 340.5000000
XAU D 20021223 000000 345.4000000
XAU D 20021224 000000 346.3000000
XAU D 20021226 000000 349.4000000
XAU D 20021227 000000 349.0000000
XAU D 20021230 000000 343.4000000
XAU D 20021231 000000 347.8000000
XAU D 20030102 000000 345.8000000
XAU D 20030103 000000 351.0000000
XAU D 20030106 000000 351.0000000
XAU D 20030107 000000 347.0000000
XAU D 20030108 000000 353.1800000
XAU D 20030109 000000 352.2000000
XAU D 20030110 000000 354.5000000
XAU D 20030113 000000 354.5000000
XAU D 20030114 000000 351.1000000
XAU D 20030115 000000 350.5000000
XAU D 20030116 000000 357.2000000
XAU D 20030117 000000 356.3000000
XAU D 20030120 000000 355.5000000
XAU D 20030121 000000 357.3000000
XAU D 20030122 000000 361.3000000
XAU D 20030123 000000 363.1000000
XAU D 20030124 000000 368.1800000
XAU D 20030127 000000 369.4000000
XAU D 20030128 000000 369.2000000
XAU D 20030129 000000 365.7000000
XAU D 20030130 000000 369.8800000
XAU D 20030131 000000 367.9000000
XAU D 20030203 000000 370.8000000
XAU D 20030204 000000 381.8800000
XAU D 20030205 000000 371.0000000
XAU D 20030206 000000 369.8000000
XAU D 20030207 000000 369.5000000
XAU D 20030210 000000 362.5000000
XAU D 20030211 000000 363.2000000
XAU D 20030212 000000 352.5000000
XAU D 20030213 000000 356.3000000
XAU D 20030214 000000 351.3000000
XAU D 20030217 000000 345.3000000
XAU D 20030218 000000 343.3000000
XAU D 20030219 000000 349.4000000
XAU D 20030220 000000 352.0000000
XAU D 20030221 000000 351.1000000
XAU D 20030224 000000 357.5000000
XAU D 20030225 000000 351.6000000
XAU D 20030226 000000 353.8000000
XAU D 20030227 000000 345.2000000
XAU D 20030228 000000 349.7000000
XAU D 20030303 000000 348.8000000
XAU D 20030304 000000 352.6000000
XAU D 20030305 000000 353.3000000
XAU D 20030306 000000 356.0000000
XAU D 20030307 000000 350.5000000
XAU D 20030310 000000 354.2000000
XAU D 20030311 000000 350.6000000
XAU D 20030312 000000 345.5000000
XAU D 20030313 000000 333.6200000
XAU D 20030314 000000 336.1000000
XAU D 20030317 000000 336.3000000
XAU D 20030318 000000 337.6000000
XAU D 20030319 000000 336.2000000
XAU D 20030320 000000 332.0000000
XAU D 20030321 000000 325.8000000
XAU D 20030324 000000 329.5000000
XAU D 20030325 000000 328.3000000
XAU D 20030326 000000 330.0000000
XAU D 20030327 000000 329.0000000
XAU D 20030328 000000 331.6000000
XAU D 20030331 000000 337.1000000
XAU D 20030401 000000 334.7000000
XAU D 20030402 000000 329.7000000
XAU D 20030403 000000 325.0000000
XAU D 20030404 000000 325.3000000
XAU D 20030407 000000 322.8000000
XAU D 20030408 000000 322.5000000
XAU D 20030409 000000 326.6000000
XAU D 20030410 000000 326.3000000
XAU D 20030411 000000 327.8000000
XAU D 20030414 000000 324.6000000
XAU D 20030415 000000 324.7000000
XAU D 20030416 000000 326.2000000
XAU D 20030417 000000 326.9000000
XAU D 20030418 000000 325.7000000
XAU D 20030421 000000 333.3000000
XAU D 20030422 000000 332.7000000
XAU D 20030423 000000 331.0000000
XAU D 20030424 000000 334.2000000
XAU D 20030425 000000 333.0000000
XAU D 20030428 000000 333.6000000
XAU D 20030429 000000 334.0000000
XAU D 20030430 000000 338.3000000
XAU D 20030501 000000 341.5000000
XAU D 20030502 000000 340.7000000
XAU D 20030505 000000 342.1000000
XAU D 20030506 000000 344.0000000
XAU D 20030507 000000 341.8000000
XAU D 20030508 000000 347.8500000
XAU D 20030509 000000 348.3000000
XAU D 20030512 000000 351.0000000
XAU D 20030513 000000 349.7000000
XAU D 20030514 000000 352.2000000
XAU D 20030515 000000 351.7000000
XAU D 20030516 000000 354.5000000
XAU D 20030519 000000 366.0000000
XAU D 20030520 000000 367.7000000
XAU D 20030521 000000 371.3000000
XAU D 20030522 000000 366.8000000
XAU D 20030523 000000 368.5000000
XAU D 20030526 000000 370.5000000
XAU D 20030527 000000 364.7000000
XAU D 20030528 000000 364.8000000
XAU D 20030529 000000 369.0000000
XAU D 20030530 000000 364.2000000
XAU D 20030602 000000 365.5000000
XAU D 20030603 000000 365.0000000
XAU D 20030604 000000 362.5000000
XAU D 20030605 000000 368.5000000
XAU D 20030606 000000 363.6000000
XAU D 20030609 000000 361.6000000
XAU D 20030610 000000 352.0000000
XAU D 20030611 000000 355.4000000
XAU D 20030612 000000 352.7500000
XAU D 20030613 000000 356.5000000
XAU D 20030616 000000 358.9000000
XAU D 20030617 000000 362.6500000
XAU D 20030618 000000 357.1000000
XAU D 20030619 000000 361.1000000
XAU D 20030620 000000 356.0000000
XAU D 20030623 000000 352.8000000
XAU D 20030624 000000 346.0000000
XAU D 20030625 000000 349.0000000
XAU D 20030626 000000 343.4000000
XAU D 20030627 000000 345.0000000
XAU D 20030630 000000 345.3000000
XAU D 20030701 000000 351.3000000
XAU D 20030702 000000 350.9000000
XAU D 20030703 000000 350.8000000
XAU D 20030704 000000 350.6000000
XAU D 20030707 000000 348.0000000
XAU D 20030708 000000 344.0000000
XAU D 20030709 000000 344.0000000
XAU D 20030710 000000 344.3000000
XAU D 20030711 000000 344.8000000
XAU D 20030714 000000 347.2000000
XAU D 20030715 000000 342.3000000
XAU D 20030716 000000 343.0000000
XAU D 20030717 000000 343.9000000
XAU D 20030718 000000 346.9000000
XAU D 20030721 000000 351.5000000
XAU D 20030722 000000 350.5000000
XAU D 20030723 000000 358.2000000
XAU D 20030724 000000 361.5000000
XAU D 20030725 000000 362.5000000
XAU D 20030728 000000 364.0000000
XAU D 20030729 000000 361.6000000
XAU D 20030730 000000 356.0000000
XAU D 20030731 000000 354.1000000
XAU D 20030801 000000 346.0000000
XAU D 20030804 000000 349.3000000
XAU D 20030805 000000 350.3000000
XAU D 20030806 000000 351.5000000
XAU D 20030807 000000 352.6000000
XAU D 20030808 000000 356.5000000
XAU D 20030811 000000 361.6000000
XAU D 20030812 000000 358.0500000
XAU D 20030813 000000 362.2000000
XAU D 20030814 000000 365.2500000
XAU D 20030815 000000 363.5000000
XAU D 20030818 000000 358.1000000
