<TICKER> <PER> <DATE> <TIME> <CLOSE>
USDRUB D 20020628 000000 31.5100000
USDRUB D 20020701 000000 31.5100000
USDRUB D 20020702 000000 31.5300000
USDRUB D 20020703 000000 31.5300000
USDRUB D 20020704 000000 31.5400000
USDRUB D 20020705 000000 31.5300000
USDRUB D 20020708 000000 31.5600000
USDRUB D 20020709 000000 31.5700000
USDRUB D 20020710 000000 31.5700000
USDRUB D 20020711 000000 31.5900000
USDRUB D 20020712 000000 31.5600000
USDRUB D 20020715 000000 31.5300000
USDRUB D 20020716 000000 31.5500000
USDRUB D 20020717 000000 31.5700000
USDRUB D 20020718 000000 31.5500000
USDRUB D 20020719 000000 31.5400000
USDRUB D 20020722 000000 31.5500000
USDRUB D 20020723 000000 31.5200000
USDRUB D 20020724 000000 31.5400000
USDRUB D 20020725 000000 31.5300000
USDRUB D 20020726 000000 31.5100000
USDRUB D 20020729 000000 31.5000000
USDRUB D 20020730 000000 31.5000000
USDRUB D 20020731 000000 31.5300000
USDRUB D 20020801 000000 31.5600000
USDRUB D 20020802 000000 31.5700000
USDRUB D 20020805 000000 31.5600000
USDRUB D 20020806 000000 31.5600000
USDRUB D 20020807 000000 31.5800000
USDRUB D 20020808 000000 31.5800000
USDRUB D 20020809 000000 31.6000000
USDRUB D 20020812 000000 31.5800000
USDRUB D 20020813 000000 31.5400000
USDRUB D 20020814 000000 31.5800000
USDRUB D 20020815 000000 31.6000000
USDRUB D 20020816 000000 31.5500000
USDRUB D 20020819 000000 31.5700000
USDRUB D 20020820 000000 31.5600000
USDRUB D 20020821 000000 31.5900000
USDRUB D 20020822 000000 31.5900000
USDRUB D 20020823 000000 31.5900000
USDRUB D 20020826 000000 31.5900000
USDRUB D 20020827 000000 31.5800000
USDRUB D 20020828 000000 31.5900000
USDRUB D 20020829 000000 31.6300000
USDRUB D 20020830 000000 31.6000000
USDRUB D 20020902 000000 31.3600000
USDRUB D 20020903 000000 31.6300000
USDRUB D 20020904 000000 31.6300000
USDRUB D 20020905 000000 31.6300000
USDRUB D 20020906 000000 31.6300000
USDRUB D 20020909 000000 31.6500000
USDRUB D 20020910 000000 31.6500000
USDRUB D 20020911 000000 31.6500000
USDRUB D 20020912 000000 31.6700000
USDRUB D 20020913 000000 31.6600000
USDRUB D 20020916 000000 31.6500000
USDRUB D 20020917 000000 31.6400000
USDRUB D 20020918 000000 31.6600000
USDRUB D 20020919 000000 31.6600000
USDRUB D 20020920 000000 31.6600000
USDRUB D 20020923 000000 31.6300000
USDRUB D 20020924 000000 31.6500000
USDRUB D 20020925 000000 31.6500000
USDRUB D 20020926 000000 31.6600000
USDRUB D 20020927 000000 31.7000000
USDRUB D 20020930 000000 31.7100000
USDRUB D 20021001 000000 31.7200000
USDRUB D 20021002 000000 31.7000000
USDRUB D 20021003 000000 31.7000000
USDRUB D 20021004 000000 31.6900000
USDRUB D 20021007 000000 31.7000000
USDRUB D 20021008 000000 31.6700000
USDRUB D 20021009 000000 31.6700000
USDRUB D 20021010 000000 31.6700000
USDRUB D 20021011 000000 31.6700000
USDRUB D 20021014 000000 31.4300000
USDRUB D 20021015 000000 31.4900000
USDRUB D 20021016 000000 31.6700000
USDRUB D 20021017 000000 31.7000000
USDRUB D 20021018 000000 31.7000000
USDRUB D 20021021 000000 31.7400000
USDRUB D 20021022 000000 31.7400000
USDRUB D 20021023 000000 31.7300000
USDRUB D 20021024 000000 31.7300000
USDRUB D 20021025 000000 31.7500000
USDRUB D 20021028 000000 31.7500000
USDRUB D 20021029 000000 31.7500000
USDRUB D 20021030 000000 31.7500000
USDRUB D 20021031 000000 31.7500000
USDRUB D 20021101 000000 31.7800000
USDRUB D 20021104 000000 31.8100000
USDRUB D 20021105 000000 31.8100000
USDRUB D 20021106 000000 31.8100000
USDRUB D 20021107 000000 31.8100000
USDRUB D 20021108 000000 31.7800000
USDRUB D 20021111 000000 31.8300000
USDRUB D 20021112 000000 31.8300000
USDRUB D 20021113 000000 31.8300000
USDRUB D 20021114 000000 31.8400000
USDRUB D 20021115 000000 31.8300000
USDRUB D 20021118 000000 31.8300000
USDRUB D 20021119 000000 31.8400000
USDRUB D 20021120 000000 31.8300000
USDRUB D 20021121 000000 31.8300000
USDRUB D 20021122 000000 31.8500000
USDRUB D 20021125 000000 31.8500000
USDRUB D 20021126 000000 31.8500000
USDRUB D 20021127 000000 31.8400000
USDRUB D 20021128 000000 31.6200000
USDRUB D 20021129 000000 31.8500000
USDRUB D 20021202 000000 31.8500000
USDRUB D 20021203 000000 31.8400000
USDRUB D 20021204 000000 31.8400000
USDRUB D 20021205 000000 31.6900000
USDRUB D 20021206 000000 31.8500000
USDRUB D 20021209 000000 31.7000000
USDRUB D 20021210 000000 31.8600000
USDRUB D 20021211 000000 31.8600000
USDRUB D 20021212 000000 31.8500000
USDRUB D 20021213 000000 31.8500000
USDRUB D 20021216 000000 31.8500000
USDRUB D 20021217 000000 31.8600000
USDRUB D 20021218 000000 31.8600000
USDRUB D 20021219 000000 31.8600000
USDRUB D 20021220 000000 31.8600000
USDRUB D 20021223 000000 31.7800000
USDRUB D 20021224 000000 31.8000000
USDRUB D 20021225 000000 31.8100000
USDRUB D 20021226 000000 31.8000000
USDRUB D 20021227 000000 31.8000000
USDRUB D 20021230 000000 31.9200000
USDRUB D 20021231 000000 31.9300000
USDRUB D 20030102 000000 31.9300000
USDRUB D 20030103 000000 31.8500000
USDRUB D 20030106 000000 31.8700000
USDRUB D 20030107 000000 31.8700000
USDRUB D 20030108 000000 31.8700000
USDRUB D 20030109 000000 31.8800000
USDRUB D 20030110 000000 31.8100000
USDRUB D 20030113 000000 31.8200000
USDRUB D 20030114 000000 31.8100000
USDRUB D 20030115 000000 31.8200000
USDRUB D 20030116 000000 31.7900000
USDRUB D 20030117 000000 31.8200000
USDRUB D 20030120 000000 31.8000000
USDRUB D 20030121 000000 31.8100000
USDRUB D 20030122 000000 31.7900000
USDRUB D 20030123 000000 31.7900000
USDRUB D 20030124 000000 31.7800000
USDRUB D 20030127 000000 31.7700000
USDRUB D 20030128 000000 31.7800000
USDRUB D 20030129 000000 31.8100000
USDRUB D 20030130 000000 31.8000000
USDRUB D 20030131 000000 31.8400000
USDRUB D 20030203 000000 31.8300000
USDRUB D 20030204 000000 31.8200000
USDRUB D 20030205 000000 31.8100000
USDRUB D 20030206 000000 31.8100000
USDRUB D 20030207 000000 31.8200000
USDRUB D 20030210 000000 31.8100000
USDRUB D 20030211 000000 31.7500000
USDRUB D 20030212 000000 31.6100000
USDRUB D 20030213 000000 31.6200000
USDRUB D 20030214 000000 31.6100000
USDRUB D 20030217 000000 31.5400000
USDRUB D 20030218 000000 31.5500000
USDRUB D 20030219 000000 31.5500000
USDRUB D 20030220 000000 31.3400000
USDRUB D 20030221 000000 31.5300000
USDRUB D 20030224 000000 31.5100000
USDRUB D 20030225 000000 31.6300000
USDRUB D 20030226 000000 31.5600000
USDRUB D 20030227 000000 31.5400000
USDRUB D 20030228 000000 31.5600000
USDRUB D 20030303 000000 31.5900000
USDRUB D 20030304 000000 31.5600000
USDRUB D 20030305 000000 31.5700000
USDRUB D 20030306 000000 31.5600000
USDRUB D 20030307 000000 31.5300000
USDRUB D 20030310 000000 31.5400000
USDRUB D 20030311 000000 31.4700000
USDRUB D 20030313 000000 31.3700000
USDRUB D 20030314 000000 31.3700000
USDRUB D 20030317 000000 31.3600000
USDRUB D 20030318 000000 31.3900000
USDRUB D 20030319 000000 31.3700000
USDRUB D 20030320 000000 31.3800000
USDRUB D 20030321 000000 31.3700000
USDRUB D 20030324 000000 31.3600000
USDRUB D 20030325 000000 31.2000000
USDRUB D 20030326 000000 31.3600000
USDRUB D 20030327 000000 31.3800000
USDRUB D 20030328 000000 31.3600000
USDRUB D 20030331 000000 31.3600000
USDRUB D 20030401 000000 31.2900000
USDRUB D 20030402 000000 31.2800000
USDRUB D 20030403 000000 31.2800000
USDRUB D 20030404 000000 31.1000000
USDRUB D 20030407 000000 31.2500000
USDRUB D 20030408 000000 31.2800000
USDRUB D 20030409 000000 31.2800000
USDRUB D 20030410 000000 31.1200000
USDRUB D 20030411 000000 31.2800000
USDRUB D 20030414 000000 31.0500000
USDRUB D 20030415 000000 31.0300000
USDRUB D 20030416 000000 31.1900000
USDRUB D 20030417 000000 31.0400000
USDRUB D 20030418 000000 31.1800000
USDRUB D 20030421 000000 30.9400000
USDRUB D 20030422 000000 30.9400000
USDRUB D 20030423 000000 31.1000000
USDRUB D 20030424 000000 30.9400000
USDRUB D 20030425 000000 31.1100000
USDRUB D 20030428 000000 30.9400000
USDRUB D 20030429 000000 31.0800000
USDRUB D 20030430 000000 31.1100000
